Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
A... My Name Is Alice,1984,Off-Broadway,"David Zippel, Winnie Holzman and Lucy Simon","Zippel, Holzman and Simon",Joan Micklin Silver and Julianne Boyd,Revue with an all-female cast. Revised versions staged as ''A... My Name Is Still Alice in 1992 and A... My Name Will Always Be Alice in 1995 .,
Aaron Slick from Punkin Crick,1952,Film,Ray Evans and Jay Livingston,Evans and Livingston,,Based on the 1919 play by Walter Benjamin Hare. Directed and written by Claude Binyon.,
"ABBAcadabra
+ West End (1983)",1983,French television,Benny Andersson and Björn Ulvaeus,"Alain Boublil and Daniel Boublil (French production); David Wood, Mike Batt, Don Black (UK production)",Boublil and Boublil,Adaptation of classic fairy tales set to the music of ABBA with new French lyrics.,
About Face,1952,Film,Peter DeRose and various artists,Charles Tobias and various artists,,Directed by Roy Del Ruth; written by Peter Milne.,
About Town,1906,Broadway,Melville Ellis and Raymond Hubbell,Joseph W. Herbert,Herbert,,
Absolute Beginners,1986,Film,Gil Evans (score) and various artists (songs),Various artists,,"Based on the novel by Colin MacInnes. Directed by Julien Temple; written by Richard Burridge, Christopher Wicking, and Don Macpherson.",
Abyssinia,1906,Broadway,Will Marion Cook and Bert Williams,Jesse A. Shipp and Alex Rogers,Jesse A. Shipp and Alex Rogers,,
Abyssinia,1987,Broadway,Ted Kociolek,James Racheff,Racheff and Kociolek,"Based on the novel Marked by Fire, by Joyce Carol Thomas.",
Ace,2006,Off-Off-Broadway,Richard Oberacker,Robert Taylor and Oberacker,Taylor and Oberacker,,
Ace of Clubs,1950,West End,Noël Coward,Coward,Coward,,
Acorn Antiques,2005,West End,Victoria Wood,Wood,Wood,Based on a series of sketches performed on the television show Victoria Wood as Seen on TV.,
Across the Universe,2007,Film,"The Beatles (John Lennon, Paul McCartney, George Harrison, Ringo Starr) (songs). Elliot Goldenthal (score)",The Beatles,,Jukebox musical Film directed by Julie Taymor; written by Dick Clement and Ian La Frenais.,
The Act,1977,Broadway,John Kander,Fred Ebb,George Furth,Directed by Martin Scorsese (his only work on Broadway to date). Tony Award for Best Actress in a Musical for Liza Minnelli.,
The Addams Family,2010,Broadway,Andrew Lippa,Lippa,Marshall Brickman and Rick Elice,Based on the cartoons by Charles Addams. Includes The Addams Family Theme composed by Vic Mizzy. The 2011 touring version introduced several modifications to the plot and song list.,
Adding Machine,2008,Off-Broadway,Joshua Schmidt,Jason Loewith and Schmidt,Loewith and Schmidt,Based on the 1923 play by Elmer Rice.,
Adèle,1913,Broadway,Jean Briquet and Adolf Phillipp,Paul Hervé,Hervé,English adaptation by Philipp and Edward A. Paulton of a French musical.,
Adonis,1884,Broadway,Edward E. Rice and John Eller,Rice and Eller,William Gill,,
The Adventures of Elmo in Grouchland,1999,Film,Various artists,Various artists,,Film featuring the Sesame Street Muppets. Directed by Gary Halvorson; written by Mitchell Kriegman and Joey Mazzarino.,
The Adventures of Marco Polo,1956,Television,"Nikolai Rimsky-Korsakov, adapted by Clay Warnick and Mel Pahl",Edward Eager,,"Part of the Max Liebman Presents series of original television musicals. Directed by Liebman, written by Neil Simon, Billy Friedberg, and Will Glickman. Reunited Alfred Drake and Doretta Morrow of Kismet.",
The Adventures of Tom Sawyer,2001,Broadway,Don Schlitz,Schlitz,Ken Ludwig,Based on the 1876 novel by Mark Twain.,
Affair in Trinidad,1952,Film,"Lester Lee, Bob Russell, various artists",Lee and Russell,,"Directed by Vincent Sherman; written by Oscar Saul, James Gunn, Virginia Van Upp, and Berne Giler.",
The Affairs of Dobie Gillis,1953,Film,Various artists,Various artists,,Directed by Don Weis; written by Max Shulman. Notable for the first film appearance of Bob Fosse.,
Afgar,1919,West End,Charles Cuvillier,Douglas Furber,Fred Thompson and Worton David,,
Africana,1934,Broadway,Donald Heyward,Heyward,Heyward,,
After Midnight,2013,Broadway,Various artists,Various artists,"Jack Viertel (""conceived by"") and Langston Hughes (""selected text by"")","Jazz jukebox musical revue based on the 2011 Encores! revue Cotton Club Parade and comprising songs written by Duke Ellington, Harold Arlen and others.",
After the Ball,1953,West End,Noël Coward,Coward,Coward,Based on the 1892 play Lady Windermere's Fan by Oscar Wilde.,
