Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Babes in Arms,1937,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,"Notable songs: ""Where or When"", ""My Funny Valentine"", ""The Lady Is a Tramp"", ""Johnny One Note"" and ""I Wish I Were in Love Again"".",
Babes in Toyland,1903,Broadway,Victor Herbert,Glen MacDonough,MacDonough,,
Babes on Broadway,1941,Film,Various artists,E.Y. Harburg and Ralph Freed,,,
Babette,1903,Broadway,Victor Herbert,Harry B. Smith,Smith,,
Baby,1983,Broadway,David Shire,"Richard Maltby, Jr.",Sybille Pearson,,
Baby It's You!,2011,Broadway,Various Artists,Various Artists,Floyd Mutrox and Colin Escott,,
Baby Talk,2000,Neuköllner Opera,Thomas Zaufke,Peter Lund,,Das Kinder-Krieg Musical,
Back to the 80's,2001,Australian,Neil Gooding,Gooding,Gooding,,
Back to the Future,2020,West End,Alan Silvestri,Glen Ballard,Bob Gale,Back to the Future,
Bad Cinderella,2021,West End,Andrew Lloyd Webber,David Zippel,Emerald Fennell (Original Book) & Alexis Scheer (Adaptation),Based on the fairy tale Cinderella,
Bad Girls,2006,West End,Kath Gotts,Gotts,Maureen Chadwick and Ann McManus,Based on the ITV1 television series Bad Girls.,
Bad Habits of 1926,1926,Broadway revue,Manning Sherwin,"Arthur Herzog, Jr.",—N/a,,
Bajour,1964,Broadway,Walter Marks,Marks,Ernest Kinoy,"Based on Joseph Mitchell's short stories, The Gypsy Women and The King of the Gypsies.",
Baker Street,1965,Broadway,"Marian Grudeff, Raymond Jessel and Jerry Bock","Grudeff, Jessel and Sheldon Harnick",Jerome Coopersmith,Based on the Sherlock Holmes stories of Arthur Conan Doyle,
The Baker's Wife,1989,West End,Stephen Schwartz,Schwartz,Joseph Stein,"Aimed at a Broadway run in 1976, but closed during try-outs.",
The Balkan Princess,1910,West End,Paul Rubens,Rubens and Arthur Wimperis,Frederick Lonsdale and Frank Curzon,,
Ball im Savoy,1932,German operetta,Paul Abraham,Alfred Grünwald and Fritz Löhner-Beda,Abraham,,
Ballad for Bimshire,1963,Off-Broadway,Irving Burgie,Burgie,Burgie and Loften Mitchell,,
Ballroom,1978,Broadway,Billy Goldenberg,Alan Bergman and Marilyn Bergman,Jerome Kass,,
Bambi,1942,Animated film,Frank Churchill and Edward H. Plumb,Churchill and Plumb,Larry Morey,,
The Band,2017,West End,Take That,Take That,Tim Firth,,
Band Waggon,1940,Film,Various artists,Various artists,,,
