Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Cab Calloway's Hi-De-Ho,1933,Film,Cab Calloway,Calloway,Milton Hockey and Fred Rath,,
Cabalgata,1949,Broadway revue,Ramon Bastida,Bastida,—N/a,,
"Cabaret 

+ film (1972)",1966,Broadway,John Kander,Fred Ebb,Joe Masteroff,"Notable songs: ""Cabaret"", ""Maybe This Time"" and ""Willkommen"".",
"Cabin in the Sky 

+ film (1943)",1940,Broadway,Vernon Duke,John La Touche,Lynn Root,,
The Caddy,1953,Film,Joseph J. Lilley,Lilley,Danny Arnold and Edmund Hartmann,,
La Cage aux Folles,1983,Broadway,Jerry Herman,Herman,Harvey Fierstein,"Notable song: ""I Am What I Am"".",
Calamity Jane,1953,Film,Sammy Fain,Paul Francis Webster,James O'Hanlon,"Notable song: ""Secret Love"".",
"Call Me Madam 

+ film (1953)",1950,Broadway,Irving Berlin,Berlin,Howard Lindsay and Russel Crouse,Star vehicle for Ethel Merman.,
Call Me Mister,1946,Broadway revue,Harold Rome,Rome,—N/a,,
Call of the Flesh,1930,Film,William Axt,Axt,John Colton and Dorothy Farnum,,
Calypso Heat Wave,1957,Film,Arthur Morton,Morton,David Chandler,,
"Camelot 

+ film (1967)",1960,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable songs: ""Camelot"", ""If Ever I Would Leave You"", ""I Loved You Once in Silence"" and ""The Lusty Month of May"".",
Camp,2003,Film,Various artists,Various artists,Todd Graff,,
Camp Rock,2008,Film,David Kitay,David Kitay,Various artists,,
Camp Rock 2: The Final Jam,2010,Film,Christopher Lennertz,Christopher Lennertz,Various artists,,
"Can-Can 

+ film (1960)",1953,Broadway,Cole Porter,Porter,Abe Burrows,"Notable song: ""I Am in Love"".",
Candide,1956,Broadway,Leonard Bernstein,Richard Wilbur,Lillian Hellman,"Notable song: ""Glitter and Be Gay"".",
The Candy Shop,1909,Broadway,John L. Golden,Golden,George V. Hobart,,
Cannibal,1993,Film,Trey Parker and Rich Sanders,Parker and Sanders,Parker,Originally known as Alferd Packer: The Musical.,
Can't Help Singing,1944,Film,Jerome Kern,E. Y. Harburg,Lewis R. Foster and Frank Ryan,,
Can't Stop the Music,1980,Film,Various artists,Various artists,Allan Carr and Bronte Woodard,"Starred the Village People, Steve Guttenberg, Valerie Perrine and Caitlyn Jenner (credited as Bruce Jenner).",
Canterbury Tales,1968,West End,John Hawkins and Richard Hill,Nevill Coghill,Martin Starkie and Coghill,,
The Capeman,1998,Broadway,Paul Simon,Simon and Derek Walcott,Simon and Walcott,,
Le capitaine Craddock,1931,Film,Werner R. Heymann,Heymann,Hans Müller,,
El Capitan,1896,Broadway,John Philip Sousa,Charles Klein and Tom Frost,Klein,,
