Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Daddy Cool,2006,West End,"Boney M., Frank Farian","Boney M., Frank Farian",,,
Daddy Long Legs,1955,Film,Johnny Mercer,Johnny Mercer,"Phoebe Ephron, Henry Ephron",,
Daddy Long Legs,2009,Off-Broadway,Paul Gordon,Paul Gordon,John Caird,,
Dames,1934,Film,"Harry Warren, Sammy Fain, Allie Wrubel","Al Dubin, Irving Kahal, Mort Dixon","Robert Lord, Delmer Daves",,
Dames at Sea,1966,Off-Off-Broadway,Jim Wise,"George Haimsohn, Robin Miller","George Haimsohn, Robin Miller",,
Damn Yankees,1955,Broadway,Richard Adler,Jerry Ross,"George Abbott, Douglass Wallop","Based on the novel The Year the Yankees Lost the Pennant by Douglass Wallop. Notable songs: ""Heart"", ""Whatever Lola Wants.""",
A Damsel in Distress,1937,Film,George Gershwin,Ira Gershwin,P. G. Wodehouse,"Based on the novel of the same name by P. G. Wodehouse. Notable song: ""A Foggy Day"".",
Dance a Little Closer,1983,Broadway,Charles Strouse,Alan Jay Lerner,Alan Jay Lerner,Based on the play Idiot's Delight by Robert E. Sherwood.,
The Dance of Life,1929,Film,Richard A. Whiting,Sam Coslow and Leo Robin,Benjamin Glazer,,
Dance of the Vampires,1997,Vienna,Jim Steinman,Michael Kunze,Michael Kunze,Based on the film The Fearless Vampire Killers by Roman Polanski.,
Dance with Me,1975,Broadway,Greg Antonacci,Greg Antonacci,Greg Antonacci,,
Dancer in the Dark,2000,Film,Björk,"Björk, Lars von Trier, Sjón",Lars von Trier,,
Dancin',1978,Broadway,various,various,Bob Fosse,,
Dancing Lady,1933,Film,Louis Silvers and Burton Lane,Harold Adamson,Allen Rivkin and P. J. Wolfson,,
The Dancing Years,1939,West End,Ivor Novello,Christopher Hassall,Ivor Novello,,
Dangerous Games,1989,Broadway,Willian Finn,Astor Piazzolla,,,
A Dangerous Maid,1923,Broadway,George Gershwin,Ira Gershwin,Charles W. Bell,"Based on Bell's 1918 play, A Dislocated Honeymoon.",
Dangerous When Wet,1953,Film,Albert Sendrey and Georgie Stoll,,Dorothy Kingsley,,
Darby O'Gill and the Little People,1959,Film,Oliver Wallace,Lawrence Edward Watkin,Lawrence Edward Watkin,Based on books Darby O'Gill and the Good People and The Ashes of Old Wishes And Other Darby O'Gill Tales by Herminie Templeton Kavanagh,
