Production,Year,Venue/type,Music,Lyrics,Book,Notes
Eadie Was a Lady,1945,Film,George Duning,Marlin Skiles,Monte Brice,Based on the musical Take a Chance.
The Earl and the Girl,1903,West End,Ivan Caryll,Percy Greenbank,Seymour Hicks,
Earl Carroll Vanities of 1931,1931,Broadway,Burton Lane,Harold Adamson,Ralph Spence and Eddie Welch,
Earl of Ruston,1971,Broadway,Peter Link,C.C. Courtney and Ragan Courtney,Courtney and Courtney,
Early to Bed,1943,Broadway,Fats Waller,"George Marion, Jr.","Marion, Jr.",
Earth Girls Are Easy,1988,Film,Ray Colcord and Nile Rodgers,Julie Brown,"Brown, Charlie Coffey and Terrence E. McNally",
The East Side of Heaven,1939,Film,Frank Skinner,Skinner,William Conselman and James V. Kern,
Easter Parade,1948,Film,"Johnny Green, Roger Edens and Irving Berlin",Berlin,"Sidney Sheldon, Frances Goodrich and Albert Hackett",
Easter Rising,2004,Off-Broadway,Michael Arden,Arden,Isaac Oliver,
Easy to Love,1953,Film,Georgie Stoll,Robert Van Eps,László Vadnay and William Roberts,
Eating Raoul,1992,Off-Broadway,Jed Feuer,Boyd Graham,Paul Bartel and Richard Blackburn,Based on the movie of the same name.
Ed Wynn Carnival,1920,Broadway revue,Ed Wynn,Wynn,Wynn,
The Eddie Cantor Story,1954,Film,David Buttolph,Buttolph,"Ted Sherdeman, Sidney Skolsky and Jerome Weidman",
The Eddy Duchin Story,1956,Film,George Duning,Duning,Samuel A. Taylor,
The Education of H*Y*M*A*N K*A*P*L*A*N,1968,Broadway,Oscar Brand and Paul Nassau,Brand and Nassau,Benjamin Bernard Zavin,
Eight Crazy Nights,2002,Film,"Teddy Castellucci, Marc Ellis, and Ray Ellis","Teddy Castellucci, Marc Ellis, and Ray Ellis","Brooks Arthur, Allen Covert, Brad Isaacs, and Adam Sandler",
Eileen,1917,Broadway,Victor Herbert,Henry Blossom,Blossom,
Einbrecher,1930,Film,Friedrich Hollaender and Franz Waxman,Hollaender and Waxman,Robert Liebmann,
Elegies,2003,Off-Broadway revue,William Finn,Finn,Finn,
"Elegies for Angels, Punks and Raging Queens",1993,Off-Broadway,Janet Hood,Bill Russell,Russell,
Elf,2010,Broadway,Matthew Sklar,Chad Beguelin,Bob Martin and Thomas Meehan,Based on the 2003 Christmas film of the same name.
Elisabeth,1992,Austrian,Sylvester Levay,Michael Kunze,Kunze,Based on the life of Empress Elisabeth of Austria.
Elixier,1997,German,Tobias Künzel and Wolfgang Lenk,Kati Naumann,Horst Königstein [de],
Ella Enchanted,2017,Regional,Deborah Wicks La Puma,Wicks La Puma,Karen Zacarias,Based on the 1997 book of the same name and the 2004 film of the same name.
Elsie,1923,Broadway,George Gershwin,Ira Gershwin,Charles W. Bell,Originally entitled A Dangerous Maid.
Emir,2010,Film,"Chino Toledo, Vin Dancel and Ebe Dancel",Diwa de Leon and Gary Granada,Jerry Gracio,
Emmet Otter's Jug-Band Christmas,1977,Film,Paul Williams,,"Lillian Hoban, Russell Hoban, Jerry Juhl",Jim Henson
Emo the Musical,2016,Film,"Neil Triffett, Charlotte Nicdao, Craig Pilkington",,Neil Triffett,
The Emperor Waltz,1948,Film,Victor Young,Young,Billy Wilder and Charles Brackett
The Emu War,2024,Musical theatre,Lotte Pearl,Lotte Pearl,Lotte Pearl,PearlWhirl Productions
Enchanted,2007,Film,Alan Menken,Stephen Schwartz,Bill Kelly,"Disney film starring Amy Adams, Patrick Dempsey and James Marsden."
The Enchantress,1911,Broadway,Victor Herbert,Fred de Gresac and Harry B. Smith,de Gresac and Smith,
End of the Rainbow,2005,West End,Various,Various,Peter Quilter,
Erminie,1885,Off-West End,Edward Jakobowski,Claxson Bellamy and Harry Paulton,—N/a,
Ernest in Love,1960,Off-Broadway,Lee Pockriss,Anne Croswell,Croswell,
Escape to Margaritaville,2017,Broadway,Jimmy Buffett,Buffett,Greg Garcia and Mike O'Malley,Features numerous Jimmy Buffett songs.
Eubie!,1978,Broadway revue,Eubie Blake,"Noble Sissle, Andy Razaf, Johnny Brandon, F. E. Miller and Jim Europe",—N/a,
Eugenius!,2016,Off-West End,Ben Adams and Chris Wilkins,Ben Adams and Chris Wilkins,Ben Adams and Chris Wilkins,
"Evangeline, or The Belle of Acadia",1874,Broadway,Edward E. Rice,J. Cheever Goodwin,Goodwin,
Evening Primrose,1966,Television,Stephen Sondheim,Sondheim,James Goldman,
An Evening with Beatrice Lillie,1952,Broadway revue,Various,Various,—N/a,
Ever After,2015,Regional,Zina Goldrich,Marcy Heisler,Heisler,Based on the 1998 film of the same name.
Ever Green,1930,West End,Richard Rodgers,Lorenz Hart,Benn Levy,
Every Night at Eight,1935,Film,Frederick Hollander and Paul Mertz,Clifford Vaughan,C. Graham Barker and Stanley Garvey,
Everybody Sing,1938,Film,William Axt,Axt,"Florence Ryerson, Edgar Allan Woolf and James Gruen",
"Everybody's Talking About Jamie 

+ film (2021)",2017,West End,Dan Gillespie Sells,Tom MacRae,Tom MacRae,
Everybody's Welcome,1931,Broadway,Sammy Fain,Irving Kahal,Lambert Carroll,
Everyday Rapture,2009,Broadway,Various,Various,Sherie Rene Scott and Dick Scanlan,
Everyone Says I Love You,1996,Film,Dick Hyman,Hyman,Woody Allen,
Everything I Have is Yours,1952,Film,David Rose,Rose,Ruth Brooks Flippen and George Wells,
Everything Is Rhythm,1936,Film,—N/a,—N/a,Jack Byrd and Syd Courtenay,
Evie and the Birdman,2001,Australian,John Field,Field,Field,
Evil Dead,2003,Canadian,"Christopher Bond, Frank Cipolla, Melissa Morris and George Reinblatt",Reinblatt,Reinblatt,
"Evita 

+ film (1996)",1978,West End,Andrew Lloyd Webber,Tim Rice,Lloyd Webber and Rice,"Based on Eva Perón. Notable songs: ""Don't Cry for Me, Argentina"" and ""Another Suitcase in Another Hall"". An additional song, ""You Must Love Me"", was added to the film."
