Production,Year,Venue/type,Music,Lyrics,Book,Notes
Face the Music,1932,Broadway,Irving Berlin,Berlin,Moss Hart,
Fade Out - Fade In,1964,Broadway,Jule Styne,Betty Comden and Adolph Green,Comden and Green,"Closed after 274 performances, after several changes in lead"
Falsettoland,1990,Off-Broadway,William Finn,Finn,James Lapine,Later become half of Falsettos.
Falsettos,1992,Broadway,William Finn,Finn,James Lapine and Finn,
"Fame 

+ film (1980) 
 + film (2009)",1988,Off-Broadway,Steve Margoshes,Jacques Levy,Jose Fernandez,Based on the 1980 film version.
A Family Affair,1962,Broadway,John Kander,James Goldman and William Goldman,Goldman and Goldman,
Fancy Nancy,2012,Off-Broadway,Danny Abosch,Susan DiLallo and Abosch,DiLallo,
FANGIRLS,2019,Australian Tour,Yve Blake,Yve Blake,Yve Blake,"FANGIRLS performed an Australian tour in Brisbane, Sydney, Adelaide, Wollongong, Canberra, and Melbourne theatres."
Fanny,1954,Broadway,Harold Rome,Rome,S. N. Behrman and Joshua Logan,
The Fantasticks,1960,Off-Broadway,Harvey Schmidt,Tom Jones,Jones,"Notable songs: ""Try to Remember"" and ""Soon It's Gonna Rain""."
Fellowship!,2004,Off-Broadway,Allen Simpson,Various,Kelly Holden-Bashar and Joel McCrary,A Tolkien parody.
F.F.F,1920,Australia,Reginald Stoneham,C. J. De Garis,C. J. De Garis,tour of major Australian cities
Fiddler on the Roof,1964,Broadway,Jerry Bock,Sheldon Harnick,Joseph Stein,"Notable songs: ""Tradition"", ""If I Were a Rich Man"" and ""Matchmaker, Matchmaker""."
The Fields of Ambrosia,1996,Canadian,Martin Silvestri,Joel Higgins,Higgins,Based on the 1970 film The Traveling Executioner.
Finding Nemo,2007,Disney musical,Robert Lopez,Kristen Anderson-Lopez,Peter Brosius,
Finding Neverland,2012,Broadway,Scott Frankel and Michael Korie,Frankel and Korie,James Graham,Based on the 1998 play The Man Who Was Peter Pan by Allan Knee and the play's 2004 film adaptation by David Magee.
Fine and Dandy,1930,Broadway,Kay Swift,James Warburg,Donald Ogden Stewart,"Notable song: ""Fine and Dandy""."
Fings Ain't Wot They Used T'Be,1959,West End,Lionel Bart,Bart,Frank Norman,
Finian's Rainbow,1947,Broadway,Burton Lane,E. Y. Harburg,Harburg and Fred Saidy,"Notable songs: ""How are Things in Glocca Morra?"" and ""Old Devil Moon""."
Fiorello!,1959,Broadway,Jerry Bock,Sheldon Harnick,Jerome Weidman and George Abbott,"Notable song: ""Little Tin Box""."
Firebringer,2016,Chicago,Meredith Stepien and Mark Swiderski,Stepien and Swiderski,"Matt Lang, Nick Lang, and Brian Holden",
First Date,2013,Broadway,Alan Zachary and Michael Weiner,Zachary and Weiner,Austin Winsberg,
First Impressions,1959,Broadway,"George Weiss, Robert Goldman and Glenn Paxton","Weiss, Goldman and Paxton",Abe Burrows,Based on Jane Austen's novel Pride and Prejudice.
First Lady Suite,1993,Off-Broadway,Michael John LaChiusa,,,
