Production,Year,Venue/type,Music,Lyrics,Book,Notes
The Gardens of Anuncia,2023,Off-Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,Based on the life of Graciela Daniele
Gatsby: An American Myth,2024,Regional,Florence Welch and Thomas Bartlett,Welch,Martyna Majok,
"Gay Divorce 

+ film (1934)",1932,Broadway,Cole Porter,Porter,Dwight Taylor,"Notable song: ""Night and Day""."
The Gay Life,1961,Broadway,Arthur Schwartz,Howard Dietz,Fay Kanin and Michael Kanin,Based on The Affairs of Anatol by Arthur Schnitzler.
Gay Purr-ee,1962,Animated film,Harold Arlen,E.Y. Harburg,Dorothy Webster Jones and Chuck Jones,
A Gentleman's Guide to Love and Murder,2013,Broadway,Steven Lutvak,Robert L. Freedman and Lutvak,Freedman,"Notable songs: ""Poison in my Pocket"" and ""I've Decided to Marry You"""
"Gentlemen Prefer Blondes 

+ film (1953)",1949,Broadway,Jule Styne,Leo Robin,Joseph Fields and Anita Loos,"Notable song: ""Diamonds are a Girl's Best Friend""."
George M!,1968,Broadway,George Cohan (revised Mary Cohan),George Cohan,"Michael Stewart, John Pascal and Francine Pascal","Notable song: ""Yankee Doodle Dandy""."
"Get Up, Stand Up! The Bob Marley Musical",2021,West End,Bob Marley,Bob Marley,Lee Hall,
Gettin' the Band Back Together,2018,Broadway,Mark Allen,Allen,Ken Davenport and the Grundleshotz,
Ghost,2011,West End,Dave Stewart and Glen Ballard,"Stewart, Ballard and Bruce Joel Rubin",Rubin,
Ghost Brothers of Darkland County,2012,Touring production,John Mellencamp,Mellencamp,Stephen King,
"Gigi 

+ film (1958)",1973,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable song: ""Thank Heaven for Little Girls""."
The Girl Behind the Gun,1918,Broadway,Ivan Caryll,Guy Bolton and P. G. Wodehouse,Bolton and Wodehouse,Revised as Kissing Time in London.
Girl Crazy,1930,Broadway,George Gershwin,Ira Gershwin,Guy Bolton and John McGowan,"Notable song: ""I've Got Rhythm""."
Girl From the North Country,2017,West End,Bob Dylan,Dylan,Conor McPherson,
The Girl in the Taxi,1910,Broadway,Benjamin Hapgood Burt,Burt,Stanislaus Stange,
The Girl Who Came to Supper,1963,Broadway,Noël Coward,Coward,Harry Kurnitz,
The Girls,2015,West End,Gary Barlow and Tim Firth,Barlow and Firth,Barlow and Firth,Based on the film Calendar Girls
Girlstar,2015,Regional,Brian Feinstein,Antony Dudley,Dudley,
The Glorious Ones,2007,Off-Broadway,Stephen Flaherty,Lynn Ahrens,Ahrens,
Glory Days,2008,Broadway,Nick Blaemire,Blaemire,James Gardiner,
The Go-Between,2011,Northampton / West End,Richard Taylor,Taylor and David Wood,Wood,
Go into Your Dance,1935,Film,Harry Warren,Al Dubin,Bradford Ropes and Earl Baldwin,
Goblin Market,1985,Off-Broadway,Polly Pen,Christina Rossetti,Rossetti,
"Godspell 

+ film (1973)",1971,Off-Broadway,Stephen Schwartz,Schwartz and Episcopal Hymnal,John-Michael Tebelak,
The Golden Apple,1954,Off-Broadway,Jerome Moross,John Latouche,Latouche,Based on the Iliad and Odyssey of Homer.
Golden Boy,1964,Broadway,Charles Strouse,Lee Adams,Clifford Odets and William Gibson,
Golden Rainbow,1968,Broadway,Walter Marks,Marks,Ernest Kinoy,
Goldilocks,1958,Broadway,Leroy Anderson,"Jean Kerr, Joan Ford and Walter Kerr",Kerr and Kerr,
The Good Companions,1974,West End,André Previn,Johnny Mercer,Ronald Harwood,
