Production,Year,Venue/type,Music,Lyrics,Book,Notes
I and Albert,1972,West End,Charles Strouse,Lee Adams,Jay Presson Allen,
I Can Get It for You Wholesale,1962,Broadway,Harold Rome,Rome,Jerome Weidman,
I Can't Sing!,2014,West End,Steve Brown,"Brown, Harry Hill",Hill,Based on the Reality television show The X Factor
I Could Go on Singing,1963,Film,Harold Arlen,Arlen,Robert Dozier,
I Do! I Do!,1966,Broadway,Harvey Schmidt,Tom Jones,Jones,
I Love My Wife,1977,Broadway,Cy Coleman,Michael Stewart,Stewart,
I Love You Because,2006,Off-Broadway,Joshua Salzman,Ryan Cunningham,Cunningham,
"I Love You, You're Perfect, Now Change",1996,Off-Broadway,Jimmy Roberts,Joe DiPietro,DiPietro,
I Married an Angel,1938,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,
Identical,2022,Regional,George Stiles,Anthony Drewe,Stuart Paterson,Based on the novel Lisa and Lottie by Erich Kästner
Idol,2007,Off-Broadway,Jon Balcourt,Balcourt,Todd Ellis,Based on the popular TV show American Idol.
If/Then,2014,Broadway,Tom Kitt,Brian Yorkey,Yorkey,
Illya Darling,1967,Broadway,Manos Hadjidakis,Joe Darion,Jules Dassin,
Imagine Tap!,2006,Off-Broadway revue,Zane Mark,Crystal Joy,—N/a,
Imagine This,2008,West End,Shuki Levy,David Goldsmith,Glenn Berenbeim,
The Immigrant,2004,Off-Broadway,Steven M. Alper,Sarah Knapp,Mark Harelik,"Based on Harelik's play, The Immigrant."
In Dahomey,1903,Broadway,Will Marion Cook,Paul Laurence Dunbar,Jesse A. Shipp,
In Strange Woods,2020,Podcast,Matt Sav and Brett Ryback,Jeff Luppino-Esposito and Brett Ryback,Brett Ryback and Jeff Luppino-Esposito and Matt Sav,
In the Green,2019,Off-Broadway,Grace McLean,McLean,McLean,Based on the lives of Hildegard of Bingen and Jutta von Sponheim
"In the Heights 

+ film (2021)",2008,Broadway,Lin-Manuel Miranda,Miranda,Quiara Alegría Hudes,
In Transit,2016,Broadway,"Kristen Anderson-Lopez, James-Allen Ford, Russ Kaplan, and Sara Wordsworth","Anderson-Lopez, Ford, Kaplan, Wordsworth","Anderson-Lopez, Ford, Kaplan, Wordsworth",This is an a cappella musical.
In Trousers,1979,Off-Broadway,William Finn,Finn,Finn,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,Animated film,Various artists,Various artists,"Thomas Bangalter, Guy-Manuel de Homem-Christo, Cédric Hervet and Leiji Matsumoto",
Into the Light,1986,Broadway,Lee Holdridge,John Forster,Jeff Tambornino,
"Into the Woods 

+ film (2014)",1987,Broadway,Stephen Sondheim,Sondheim,James Lapine,"Notable songs: ""No One is Alone"" and ""Children Will Listen""."
Irene,1919,Broadway,Harry Tierney,Joseph McCarthy,James Montgomery and Joseph Stein,
Irma La Douce,1956,French,Marguerite Monnot,Alexandre Breffort,Breffort,
Is There Life After High School?,1982,Broadway,Craig Carnelia,Carnelia,Jeffrey Kindley,
It Ain't Nothin' But the Blues,1999,Off-Broadway revue,Various artists,Various artists,"Charles Bevel, Lita Gaithers, Randal Myler, Ron Taylor and Dan Wheetman",
It Shoulda Been You,2011,Broadway,Barbara Anselmi,Brian Hargrove,Hargrove,
It's Only Life,2008,Revue,John Bucchino,John Bucchino,Daisy Prince and John Bucchino,
