Production,Year,Venue/type,Music,Lyrics,Book,Notes
Jackpot,1944,Broadway,Vernon Duke,Howard Dietz,"Guy Bolton, Sidney Sheldon and Ben Roberts",
Jacques Brel is Alive and Well and Living in Paris,1968,Off-Broadway revue,Jacques Brel,"Brel, Eric Blau and Mort Shuman",Blau and Shuman,
Jagged Little Pill,2018,Broadway,Alanis Morissette and Glen Ballard,Alanis Morissette,Diablo Cody,
Jamaica,1957,Broadway,Harold Arlen,E. Y. Harburg,Harburg and Fred Saidy,
James and the Giant Peach,2010,Broadway,Pasek and Paul,Pasek and Paul,Timothy Allen McDonald,Based on James and the Giant Peach by Roald Dahl
James Joyce's The Dead,1998,Broadway,Shaun Davey,Richard Nelson,Nelson,
Jane Eyre,2000,Broadway,Paul Gordon,Gordon,John Caird,Based on Jane Eyre by Charlotte Brontë.
Jekyll & Hyde,1997,Broadway,Frank Wildhorn,"Leslie Bricusse, Wildhorn and Steve Cuden",Bricusse,
Jelly's Last Jam,1992,Broadway,Jelly Roll Morton and Luther Henderson,Susan Birkenhead,George C. Wolfe,
Jerico-Jim Crow,1964,Off-Broadway,Various artists,Various artists,William Hairston and Langston Hughes,
Jerome Robbins' Broadway,1989,Broadway revue,Various artists,Various artists,—N/a,
Jerry Springer,2003,West End,Richard Thomas,Thomas and Stewart Lee,Thomas and Lee,Based on the television show The Jerry Springer Show.
Jerry's Girls,1985,Broadway revue,Jerry Herman,Herman,—N/a,
"Jersey Boys 

+ film (2014)",2005,Broadway jukebox,Bob Gaudio,Bob Crewe,Marshall Brickman and Rick Elice,
"Jesus Christ Superstar 

+ film (1973)",1971,Broadway,Andrew Lloyd Webber,Tim Rice,Rice,"Notable songs: ""I Don't Know How to Love Him"", ""Heaven on Their Minds"", ""Everything's Alright"", and ""Gethsemane""."
Jo,1964,Off-Broadway,,,,
Joan of Arc: Into the Fire,2017,Off-Broadway,David Byrne,Byrne,Byrne,
john & jen,1995,Off-Broadway,Andrew Lippa,Tom Greenwald,Lippa and Greenwald,
John Henry,1940,Broadway,Jacques Wolfe,Roark Bradford,Bradford,
John Paul Jones,2001,Scottish,Julian Wagstaff,Julian Wagstaff,Julian Wagstaff and Joel Jenkins,Based on the life of the Scots-born naval captain and hero of the American Revolution
Johnny Johnson,1936,Broadway,Kurt Weill,Paul Green,Green,"Based on Jaroslav Hašek's novel, The Good Soldier Švejk."
Johnny Pye and the Fool-Killer,1993,Off-Broadway,Randy Courts,Mark St. Germain,Courts and Germain,
Jolly Jerome,1928,Off-Broadway,Roy French,French,,
"Joseph and the Amazing Technicolor Dreamcoat
+ film (1999)",1968,West End,Andrew Lloyd Webber,Tim Rice,Rice,"Notable songs: ""Any Dream Will Do"" and ""Close Every Door""."
Joseph McCarthy is Alive and Living in Dade County,1977,Off-Broadway,Ray Scantlin,Scantlin,Scantlin,
Juan Darién,1996,Broadway,Elliot Goldenthal,Goldenthal,Goldenthal and Julie Taymor,
Jubilee,1935,Broadway,Cole Porter,Porter,Moss Hart,
Jumbo,1935,Broadway,Richard Rodgers,Lorenz Hart,Ben Hecht and Charles MacArthur,
Jump for Joy,1941,Off-Broadway revue,Duke Ellington and Hal Borne,Paul Francis Webster and Sid Kuller,—N/a,Aimed at Broadway but closed out of town in Los Angeles.
The Jungle Book,1967,Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Larry Clemmons,
Junie B Jones the Musical,2004,Off-Broadway,Zina Goldrich,Marcy Heisler,Marcy Heisler,Based on the Junie B. Jones book series by Barbara Park
Juno,1959,Broadway,Marc Blitzstein,Blitzstein,Joseph Stein,
