Production,Year,Venue/type,Music,Lyrics,Book,Notes
Mack & Mabel,1974,Broadway,Jerry Herman,Herman,Michael Stewart,
The Mad Ones,2017,Off-Broadway,Bree Lowdermilk,Kait Kerrigan,Kait Kerrigan,Previously titled The Unauthorized Autobiography of Samantha Brown
The Mad Show,1966,Off-Broadway,Mary Rodgers,Various artists,Larry Siegel and Stan Hart,
Made in Dagenham,2014,West End,David Arnold,Richard Thomas,Richard Bean,Based on the film of the same name
The Madwoman of Central Park West,1979,Broadway,Various artists,Various artists,Arthur Laurents and Phyllis Newman,
Maggie May,1964,West End,Lionel Bart,Bart,Alun Owen,
The Magic Basket,1940,Australia,Alfred Wheeler,Bronnie Taylor,Bronnie Taylor,38 amateur productions
Magic Gum Tree,1934,Australia,Arline Sauer,Arline Sauer,,26 amateur productions
The Magic Mrs. Piggle Wiggle,2001,Off-off-Broadway,Chad Henry,Henry,Henry,
The Magic of Lassie,1978,Film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,"Sherman, Sherman and Jean Holloway",
The Maid of the Mountains,1917,West End,Harold Fraser-Simson,Harry Graham,Frederick Lonsdale,
Make a Wish,1951,Broadway,Hugh Martin,Martin,Preston Sturges,
Make Me a Song,2007,Off-Broadway revue,William Finn,Finn,—N/a,
Making Tracks,1999,Off-Broadway,Woody Pak,Brian Yorkey,Welly Yang,
"Mame 

+ film (1974)",1966,Broadway,Jerry Herman,Herman,Jerome Lawrence and Robert E. Lee,"Notable songs: ""Mame"", ""We Need a Little Christmas"" and ""If He Walked Into My Life""."
"Mamma Mia! 

+ film (2008)",1999,West End,Björn Ulvaeus and Benny Andersson,"Ulvaeus, Andersson, and Stig Anderson",Catherine Johnson,"Compiled from songs by ABBA. Notable songs: ""Dancing Queen"", ""Does Your Mother Know"", and ""Mamma Mia""."
Mamma Mia! Here We Go Again,2018,Film,Björn Ulvaeus and Benny Andersson,"Ulvaeus, Andersson, and Stig Anderson",Ol Parker,Compiled from songs by ABBA. Sequel to the 2008 film Mamma Mia!.
Mam'zelle Champagne,1906,Broadway revue,Cassius Freeborn,Edgar Allan Woolf,Woolf,Noted for Harry K. Thaw murdering Stanford White during the opening night performance.
The Man from Snowy River: Arena Spectacular,2002,Australian,"Bruce Rowland, Lee Kernaghan and Garth Porter",Kernaghan and Porter,David Atkins and Ignatius Jones,
Man of La Mancha,1965,Broadway,Mitch Leigh,Joe Darion,Dale Wasserman,"Notable song: ""The Impossible Dream""."
A Man of No Importance,2002,Off-Broadway,Stephen Flaherty,Lynn Ahrens,Terrence McNally,Based on the 1994 Film of the same name.
The Man With a Load of Mischief,1966,Off-Broadway,John Clifton,Ben Tarver and Clifton,Tarver,
The Many Adventures of Winnie the Pooh,1977,Animated film,"Richard M. Sherman, Robert B. Sherman and Buddy Baker",Sherman and Sherman,Various writers,
March of the Falsettos,1981,Off-Broadway,William Finn,Finn,Finn,It would later be half of Falsettos.
Margie,1946,Film,Alfred Newman,Newman,"F. Hugh Herbert, Ruth McKenney and Richard Bransten",
Marguerite,2008,West End,Michel Legrand,Alain Boublil and Herbert Kretzmer,"Claude-Michel Schönberg, Boublil and Jonathan Kent",
Marie Christine,1999,Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
Marinka,1945,Broadway,Emmerich Kálmán,"George Marion, Jr.","Marion, Jr. and Karl Farkas",
Marry Me a Little,1981,Off-Broadway revue,Stephen Sondheim,Sondheim,—N/a,
Martin Guerre,1997,West End,Claude-Michel Schönberg,Alain Boublil and Stephen Clark,Schönberg and Boublil,
"Mary Poppins 

+ film (1964)",2004,West End,"Richard M. Sherman, Robert B. Sherman and George Stiles","Sherman, Sherman and Anthony Drewe",Julian Fellowes,"Based on the film of the same name. Notable songs: ""Chim-Chim-Cheree"" and ""Supercalifragilisticexpialidocious""."
Mary Poppins Returns,2018,Film,Marc Shaiman,Scott Wittman,David Magee,Sequel to the 1964 film Mary Poppins.
Matador,1987,West End,Mike Leander and Edward Seago,Leander and Seago,Peter Jukes,"Notable song: ""A Boy from Nowhere""."
"Matilda 

+ film (2022)",2011,West End,Tim Minchin,Minchin,Dennis Kelly,Based on a children's novel (Matilda) by Roald Dahl.  Had its Broadway premiere in 2013.
Maybe Happy Ending,2017,South Korea,Will Aronson,Hue Park,,Directed by Kim Dong-yeon (director)
Maytime,1917,Broadway,Sigmund Romberg,Rida Johnson Young,Young,
Me and Juliet,1953,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein,
Me and My Dick,2009,University of Michigan,"A.J. Holmes, Carlos Valdes and Darren Criss","Holmes, Valdes and Criss","Matt Lang, Nick Lang, Brian Holden and Eric Kahn Gale",Performed by StarKid Productions.
Me and My Girl,1937,West End,Noel Gay,Douglas Furber and L. Arthur Rose,Furber and Rose,"Notable song: ""The Lambeth Walk""."
The Me Nobody Knows,1970,Broadway,Gary William Friedman,Will Holt,"Robert H. Livingston, Herb Schapiro and Stephen M. Joseph",
Mean Girls,2017,Broadway,Jeff Richmond,Nell Benjamin,Tina Fey,Based on the 2004 film of the same name.
"Meet Me in St. Louis 

+ film (1944)",1989,Broadway,Hugh Martin and Ralph Blane,Martin and Blane,Hugh Wheeler,"Based on the film of the same name. Notable song: ""Have Yourself a Merry Little Christmas""."
Meet Mister Future,2006,Off-Broadway,Scott Frankel,Michael Korie,Korie,
Meet the Feebles,1989,Film,Peter Dasent,Dasent,Various writers,
Mein Freund Bunbury,1964,German,Gerd Natschinski,Jürgen Degenhardt,Helmut Bez and Jürgen Degenhardt,based on Oscar Wilde's The Importance of Being Earnest
Memphis,2009,Broadway,David Bryan,Bryan and Joe DiPietro,DiPietro,
Menopause,2001,Off-off-Broadway,Various artists,Jeanie Linders,Linders,
Merlin,1983,Broadway,Elmer Bernstein,Don Black,Richard Levinson and William Link,
Merrily We Roll Along,1981,Broadway,Stephen Sondheim,Sondheim,George Furth,"Notable songs: ""Good Thing Going"" and ""Not a Day Goes By""."
Metropolis,1989,West End,Joseph Brooks,Dusty Hughes and Brooks,Hughes,Based on the 1927 movie.
Mexican Hayride,1944,Broadway,Cole Porter,Porter,Herbert Fields and Dorothy Fields,
The Mighty Kong,1998,Film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,William J. Keenan,Based on the 1933 movie King Kong.
Milk and Honey,1961,Broadway,Jerry Herman,Herman,Don Appell,
Millennials,2022,Off-West End,Elliot Clay,Elliot Clay,Elliot Clay,
Millennium Dome Show,2000,Millennium Dome,Peter Gabriel (issued as OVO),Peter Gabriel,Peter Gabriel,Based on The Story of OVO
Million Dollar Quartet,2010,Broadway,Various artists,Various artists,Colin Escott and Floyd Mutrux,
Minimum Wage,2007,Off-Broadway,"Sean Altman, Charlie LaGreca, Jeff LaGreca, Michael Gribbin, and Rob Utesch","Sean Altman, Charlie LaGreca, and Jeff LaGreca",Charlie LaGreca and Jeff LaGreca,"Notable songs:""All These Dreams"", ""Kooky, The Happy Burger Clown"" and ""Minimum Wage Theme"""
A Minister's Wife,2011,Off-Broadway,Joshua Schmidt,Jan Tranen,Austin Pendleton,Based on George Bernard Shaw's Candida.
Les Misérables,1980,French,Claude-Michel Schönberg,Alain Boublil and Jean-Marc Natel,Claude-Michel Schönberg and Alain Boublil,
Les Misérables,1985,West End,Claude-Michel Schönberg,Alain Boublil and Herbert Kretzmer,"Schönberg, Boublil, Trevor Nunn, and John Caird","Notable songs: ""I Dreamed a Dream"", ""On My Own"" and ""Do You Hear the People Sing?""."
"Les Misérables 

+ film (2012)",1987,Broadway,Claude-Michel Schönberg,Alain Boublil and Herbert Kretzmer,"Schönberg, Boublil, Trevor Nunn, and John Caird",
Miss 1917,1917,Broadway revue,Various artists,Various artists,Guy Bolton and P. G. Wodehouse,
Miss Liberty,1949,Broadway,Irving Berlin,Berlin,Robert E. Sherwood,
Miss Saigon,1989,West End,Claude-Michel Schönberg,"Alain Boublil and Richard Maltby, Jr.",Schönberg and Boublil,"Notable song: ""Last Night of the World""."
Miss You Like Hell,2018,Off-Broadway,Erin McKeown,McKeown and Quiara Alegría Hudes,Hudes,
MJ the Musical,2022,Broadway,Michael Jackson,Jackson,Lynn Nottage,
Moana,2016,Animated film,Lin-Manuel Miranda and Opetaia Foa'i,Miranda and Foa'i,Jared Bush,
Moana 2,2024,Animated film,Mark Mancina and Opetaia Foaʻi,Mark Mancina,Jared Bush and Dana Ledoux Miller,
Moby Dick,1992,West End,Robert Longden and Hereward Kaye,Longden and Kaye,Longden,
Moon Landing,2007,Off-off-Broadway,Stephen Edwards,Edwards,Edwards,
More Than You Deserve,1973,Off-Broadway,Jim Steinman,Steinman,Michael Weller,
