Production,Year,Venue/type,Music,Lyrics,Book,Notes
Napoleon,2000,Canadian,Timothy Williams,Andrew Sabiston,Williams and Sabiston,
Narnia,1985,Off-off-Broadway,Thomas Tierney,Ted Drachman,Jules Tasca,
"Natasha, Pierre & The Great Comet of 1812",2016,Broadway,Dave Malloy,Malloy,Malloy,"Electropop opera, Based on Leo Tolstoy's War & Peace"
Nativity!,2017,Birmingham,Debbie Isitt and Nicky Ager,Isitt,Isitt,Based on the 2009 film Nativity!
Ned Kelly,1970,Film,Shel Silverstein,Silverstein,Ian Jones and Tony Richardson,
"Netru, Indru, Naalai",2006,Indian,A. R. Rahman,Rahman,Rahman,
Never Forget,2008,West End,Gary Barlow,Barlow,Guy Jones and Ed Curtis,
Never Gonna Dance,2003,Broadway,Jerome Kern,Various artists,Jeffrey Hatcher,Based on the 1936 RKO film Swing Time.
Nevermore: The Imaginary Life and Mysterious Death of Edgar Allan Poe,2009,Canadian,Jonathan Christenson,Jonathan Christenson,Jonathan Christenson,Staged Off-Broadway in 2015
A New Brain,1998,Off-Broadway,William Finn,Finn,Finn and James Lapine,
New Faces of 1952,1952,Broadway revue,Various artists,Various artists,—N/a,
New Girl in Town,1957,Broadway,Bob Merrill,Merrill,George Abbott,
The New Moon,1928,Broadway,Sigmund Romberg,Oscar Hammerstein II,"Hammerstein, Frank Mandel, and Laurence Schwab", 
"New York, New York",2023,Broadway,John Kander,Fred Ebb with contributions from Lin-Manuel Miranda,David Thompson and Sharon Washington,Based on the musical movie of the same name directed by Martin Scorsese
Newsical,2004,Off-Broadway,Rick Crom,Crom,Crom,
"Newsies 

+ film (1992) 
+ film (2017)",2012,Broadway,Alan Menken,Jack Feldman,Harvey Fierstein,Based on the film of the same name.
Next to Normal,2009,Broadway,Tom Kitt,Brian Yorkey,Yorkey,
Nice Work If You Can Get It,2012,Broadway,George Gershwin,Ira Gershwin,Joe DiPietro,
A Night with Janis Joplin,2013,Broadway,Janis Joplin,Joplin,Randy Johnson,Jukebox musical detailing the life and music of Janis Joplin.
Nightingale,1982,Off-West End,Charles Strouse,Strouse,Strouse,
The Nightmare Before Christmas,1993,Film,Danny Elfman,Elfman,Caroline Thompson and Michael McDowell,"Notable songs: ""What's This?"", ""This Is Halloween"", and ""Making Christmas""."
"Nine 

+ film (2009)",1982,Broadway,Maury Yeston,Yeston,Arthur Kopit,
"No, No, Nanette",1925,Broadway,Vincent Youmans,Irving Caesar and Otto Harbach,Harbach and Frank Mandel,"Notable songs: ""Tea for Two"" and ""I Want to Be Happy""."
No Strings,1962,Broadway,Richard Rodgers,Rodgers,Samuel A. Taylor,
Nobody's Boy,1919,West End,Edward A. Horan,John P. Wilson,William Lestocq,
Nord-Ost,2001,Russian,Aleksei Ivaschenko and Georgii Vasilyev,Ivaschenko and Vasilyev,Veniamin Kaverin,
Nosferatu the Vampire,1994,Off-off-Broadway,Bernard J. Taylor,Taylor,Taylor,
The Notebook,2022,Broadway,Ingrid Michaelson,Michaelson,Bekah Brunstetter,"Based on the 1996 novel of the same name, written by Nicholas Sparks."
Notre-Dame de Paris,1998,French,Riccardo Cocciante,Luc Plamondon,Plamondon,"Notable songs: ""Les temps des cathedrales"", ""Belle"" and ""Vivre""."
Now. Here. This.,2012,Off-Broadway,Jeff Bowen,Bowen,Hunter Bell and Susan Blackwell,
Now Is the Time for All Good Men,1967,Off-Broadway,Nancy Ford,Gretchen Cryer,Cryer,
Nunsense,1985,Off-Broadway,Dan Goggin,Goggin,Goggin,
Nymph Errant,1933,West End,Cole Porter,Porter,Romney Brent,
