Production,Year,Venue/type,Music,Lyrics,Book,Notes
Pacific 1860,1946,West End,Noël Coward,Coward,Coward,
Pacific Overtures,1976,Broadway,Stephen Sondheim,Sondheim,John Weidman,
Paddington: The Musical,2025,West End,Tom Fletcher,Fletcher,Jessica Swale,
"Paint Your Wagon 

+ film (1969)",1951,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable song: ""Wand'rin' Star""."
"The Pajama Game 

+ film (1957)",1954,Broadway,Richard Adler and Jerry Ross,Adler and Ross,George Abbott and Richard Bissell,"Notable songs: ""Steam Heat"" and ""Hernando's Hideaway""."
"Pal Joey 

+ film (1957)",1940,Broadway,Richard Rodgers,Lorenz Hart,John O'Hara,"Notable song: ""Bewitched, Bothered and Bewildered""."
Panama Hattie,1940,Broadway,Cole Porter,Porter,Herbert Fields and B. G. DeSylva,
Parade,1998,Broadway,Jason Robert Brown,Brown,Alfred Uhry,
Paradise Square,2018,Broadway,Jason Howland,Masi Asare and Nathan Tysen,Christina AndersonLarry KirwanCraig Lucas,Hard Timesby Larry Kirwan
Paris,1928,Broadway,"Cole Porter, Walter Kollo, and Louis Alter","Porter, E. Ray Goetz, and Roy Turk",Martin Brown,
Paris,2003,Australian,Jon English and David MacKay,English and MacKay,English and MacKay,
Passing Strange,2008,Broadway,Stew and Heidi Rodewald,Stew,Stew,
Passion,1994,Broadway,Stephen Sondheim,Sondheim,James Lapine,
The Passion Flower Hotel,1965,West End,John Barry,Trevor Peacock,Wolf Mankowitz,
Pennies from Heaven,1981,Film,Various artists,Various artists,Dennis Potter,
Perchance to Dream,1945,West End,Ivor Novello,Novello,Novello,
The Perfect City,2014,Off-off-West End,Martin Coslett,Ross Clark,Andrew Miller,
Perfect Harmony,2010,Off-Broadway,Various artists,Various artists,Andrew Grosso and The Essentials,
The Perils of Pauline,1947,Film,Robert Emmett Dolan,Dolan,P.J. Wolfson and Frank Butler,
Peter Pan,1950,Broadway,Leonard Bernstein,Bernstein,J. M. Barrie,
Peter Pan,1953,Animated film,Frank Churchill and Sammy Fain,Various artists,Various writers,
Peter Pan,1954,Broadway,Mark Charlap and Jule Styne,"Betty Comden, Adolph Green, and Carolyn Leigh",J. M. Barrie,
Peter Pan,1996,Danish,George Stiles and Anthony Drewe,Stiles and Drewe,Willis Hall,
Pete's Dragon,1977,Animated film,Al Kasha and Joel Hirschhorn,Kasha and Hirschhorn,Malcolm Marmorstein,"Notable song: ""Candle on the Water""."
Le Petit Prince,2002,French,Richard Cocciante,Cocciante,Cocciante,
Phantom,1991,Regional,Maury Yeston,Yeston,Arthur Kopit,
Phantom of the Opera,1976,West End,Ken Hill,Hill,Hill,
"The Phantom of the Opera 

+ film (2004)",1986,Broadway,Andrew Lloyd Webber,Charles Hart,Lloyd Webber and Richard Stilgoe,"Notable songs: ""The Phantom of the Opera"" and ""The Music of the Night""."
The Phantom Tollbooth,1995,Off-Broadway,Arnold Black,Sheldon Harnick,Norton Juster and Harnick,
Phi-Phi,1918,French,Henri Christiné,Albert Willemetz and Fabien Solar,Willemetz and Solar,
Pickwick,1963,West End,Cyril Ornadel,Leslie Bricusse,Wolf Mankowitz,
Picnic at Hanging Rock,2025,Off-Broadway,Greta Gertler Gold,Hilary Bell,Bell,Based on the novel of the same name by Joan Lindsay
Pieces of Eight,1985,Off-West End,Jule Styne,Susan Birkenhead,Michael Stewart and Mark Bramble,
Pink Floyd – The Wall,1982,Film,"Pink Floyd, Bob Ezrin and Michael Kamen","Floyd, Ezrin and Kamen",Roger Waters,
Pinocchio,1940,Animated film,Leigh Harline and Paul J. Smith,Harline and Smith,Various writers,"Notable song: ""When You Wish Upon a Star""."
Pins and Needles,1937,Broadway revue,Harold Rome,Rome,Various writers,
Pipe Dream,1955,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein,
Pippin,1972,Broadway,Stephen Schwartz,Schwartz,Roger O. Hirson,
The Pirate Queen,2007,Broadway,Claude-Michel Schönberg,"Alain Boublil and Richard Maltby, Jr.","Schönberg, Boublil and Maltby, Jr.","Notable song: ""Woman""."
The Pirates of Penzance,1879,Fifth Avenue Theatre,Arthur Sullivan,W.S. Gilbert,,"Notable song: ""I am the very model of a modern Major-General""."
Pitch Perfect,2012,Film,Christophe Beck and Mark Kilian,Beck and Kilian,Kay Cannon,
Pitch Perfect 2,2015,Film,Mark Mothersbaugh,Mothersbaugh,Kay Cannon,
Pitch Perfect 3,2017,Film,Christopher Lennertz,Lennertz,Kay Cannon and Mike White,
Plain and Fancy,1955,Broadway,Albert Hague,Arnold Horwitt,Joseph Stein and Will Glickman,
Platinum,1978,Broadway,Gary William Friedman,Will Holt,Holt and Bruce Vilanch,
Play On!,1997,Broadway,Duke Ellington,Various artists,Cheryl West,
La Plume de Ma Tante,1958,Broadway revue,Gérard Calvi,Ross Parker and Francis Blanche,Robert Dhéry,
Pocahontas,1995,Animated film,Alan Menken,Stephen Schwartz,"Carl Binder, Susannah Grant and Philip LaZebnik","Notable song: ""Colors of the Wind""."
Pokémon Live!,2001,US Tour,Unknown,Unknown,Unknown,
Poor Little Rich Girl,1936,Film,Mack Gordon and Harry Revel,Gordon and Revel,"Sam Hellman, Gladys Lehman and Harry Tugend",
Popeye,1980,Film,Harry Nilsson and Tom Pierson,Nilsson and Pierson,Jules Feiffer,
"Porgy and Bess 

+ film (1959)",1935,Broadway,George Gershwin,DuBose Heyward and Ira Gershwin,Heyward,"Notable song: ""Summertime""."
Portofino,1958,Broadway,Louis Bellson and Will Irwin,Richard Ney and Sheldon Harnick,Ney,
Pretty Woman,2018,Broadway,Bryan Adams and Jim Vallance,Bryan Adams and Jim Vallance,Garry Marshall and J. F. Lawton,
Pride and Prejudice,1993,Off-off-Broadway,Bernard J. Taylor,Taylor,Taylor,
The Prince and the Pauper,2002,Off-Broadway,Neil Berg,Berg,Mark Twain,
Prince of Broadway,2015,Broadway revue,Jason Robert Brown,Brown,David Thompson,
"The Prince of Egypt  

+ film (1998)",2017,West End,Stephen Schwartz,Schwartz,Philip LaZebnik,
The Princess and the Frog,2009,Animated film,Randy Newman,Newman,"Ron Clements, John Musker, and Rob Edwards",
"Priscilla, Queen of the Desert",2006,Sydney Lyric,Various artists,Various artists,Stephan Elliott and Allan Scott,
"The Producers 

+ film (2005)",2001,Broadway,Mel Brooks,Brooks,Brooks and Thomas Meehan,"Notable songs: ""Springtime for Hitler"", ""I Wanna Be a Producer"", and ""Keep It Gay"""
"The Prom  

+ film (2020)",2016,Broadway,Matthew Sklar,Chad Beguelin,Bob Martin and Chad Beguelin,
Promenade,1969,Off-Broadway,Al Carmines,María Irene Fornés,Fornés,
"Promises, Promises",1968,Broadway,Burt Bacharach,Hal David,Neil Simon,"Notable song: ""I Say a Little Prayer""."
Pump Boys and Dinettes,1982,Broadway,Various artists,Various artists,Various writers,
Purlie,1970,Broadway,Gary Geld,Peter Udell,"Ossie Davis, Philip Rose and Udell",
Puteri Gunung Ledang,2006,Malaysian,Dick Lee,Adlin Aman Ramlie,"Saw Teong Hin, Zahim Albakri and Ramlie",
