Production,Year,Venue/type,Music,Lyrics,Book,Notes
The Race to Urga,1969,Workshop,Leonard Bernstein,Stephen Sondheim,John Guare,
Rachael Lily Rosenbloom (And Don't You Ever Forget It),1973,Broadway,Paul Jabara,Jabara,Jabara and Tom Eyen,
Raggedy Ann,1986,Broadway,Joe Raposo,Raposo,William Gibson,Also known as Rag Dolly
Raggedy Ann & Andy,1977,Animated film,Joe Raposo,Raposo,Patricia Thackray and Max Wilk,"Notable songs: ""Rag Dolly"", ""No Girl's Toy"", ""Blue"", and ""Candy Hearts and Paper Flowers""."
Rags,1986,Broadway,Charles Strouse,Stephen Schwartz,Joseph Stein,
Ragtime,1998,Broadway,Stephen Flaherty,Lynn Ahrens,Terrence McNally,"Notable songs: ""Wheels of a Dream"" and ""Your Daddy's Son""."
Rain: A Tribute to the Beatles,2010,Neil Simon Theatre,Founding members of the band Reign,,,Beatles tribute and theatrical production
Raise Your Voice,2004,Film,Aaron Zigman and Machine Head,Aaron Zigman and Machine Head,Mitch Rotter,
Raisin,1973,Broadway,Judd Woldin,Robert Brittan,Robert B. Nemiroff and Charlotte Zaltzberg,
Randy Newman's Faust,1995,Off-Broadway,Randy Newman,Newman,Newman,
Ratatouille the Musical,2021,Benefit concert,Various,Various,Michael Breslin and Patrick Foley,
Rebecca,2006,Austrian,Sylvester Levay,Michael Kunze,Kunze,
"Red, Hot and Blue",1936,Broadway,Cole Porter,Porter,Howard Lindsay and Russel Crouse,Star vehicle for Ethel Merman and Jimmy Durante.
Red Pepper,1922,Broadway,Owen Murphy and Albert Gumble,Howard Rogers and Murphy,Edgar Smith and Emily Young,
The Red Shoes,1993,Broadway,Jule Styne,Marsha Norman and Bob Merrill,Norman,
"Red, White and Maddox",1969,Broadway,Don Tucker,Tucker,Jay Broad and Tucker,
Redhead,1959,Broadway,Albert Hague,Dorothy Fields,"Herbert Fields, Sidney Sheldon, David Shaw and Fields",
Redwood,2025,Broadway,Kate Diaz,Diaz and Tina Landau,Landau,Leading actress Idina Menzel was credited as co-conceiver with additional contributions to the material
"Reefer Madness 

+ film (2005)",2004,Off-Broadway,Dan Studney,Kevin Murphy,Murphy,
"Rent 

+ film (2005)",1996,Off-Broadway,Jonathan Larson,Larson,Larson,"Notable songs: ""Seasons of Love"", ""La Vie Bohème"" and ""Take Me or Leave Me""."
Repo! The Genetic Opera,2008,Film,Terrance Zdunich and Darren Smith,Zdunich and Smith,Zdunich and Smith,"Notable songs: ""Zydrate Anatomy"", ""Mark it Up"" and ""Seventeen""."
Return to the Forbidden Planet,1989,West End jukebox,Various artists,Various artists,Bob Carlton,
Reunions,2025,Off-Broadway,Jimmy Calire,Jeffrey Scharf,Scharf,Based on two one-act plays: The Twelve Pound Look by J.M. Barrie and A Sunny Morning by the Quintero brothers
La Révolution Française,1973,French,Claude-Michel Schönberg and Raymond Jeannot,Alain Boublil and Jean-Max Rivière,Boublil and Rivière,
Revolution in the Elbow of Ragnar Agnarsson Furniture Painter,2014,Off-Broadway,Ívar Páll Jónsson,Jónsson,Jónsson,
Rex,1976,Broadway,Richard Rodgers,Sheldon Harnick,Sherman Yellen,
Ride the Cyclone,2008,Off-Broadway,Jacob Richmond and Brooke Maxwell,Jacob Richmond and Brooke Maxwell,Jacob Richmond and Brooke Maxwell,"Notable song: ""Noel's Lament""."
The Rink,1984,Broadway,John Kander,Fred Ebb,Terrence McNally,
Riverwind,1962,Off-Broadway,John Jennings,Jennings,Jennings,
Road Show,2003,Off-Broadway,Stephen Sondheim,Sondheim,John Weidman,Retitled from Bounce
Road to Morocco,1942,Film,Jimmy Van Heusen,Johnny Burke,Frank Butler and Don Hartman,
Road to Singapore,1940,Film,James V. Monaco and Victor Schertzinger,Johnny Burke,"Frank Butler, Don Hartman and Harry Hervey",
Road to Utopia,1945,Film,Jimmy Van Heusen,Johnny Burke,Melvin Frank and Norman Panama,
Road to Zanzibar,1941,Film,Jimmy Van Heusen and D. Costa,Johnny Burke and John Howard Payne,"Sy Bartlett, Frank Butler and Don Hartman",
The Roar of the Greasepaint – The Smell of the Crowd,1965,UK Tour,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Bricusse and Newley,
The Robber Bridegroom,1975,Broadway,Robert Waldman,Alfred Uhry,Uhry,
Robert and Elizabeth,1964,West End,Ron Grainer,Ronald Millar,Millar,
"Roberta 

+ film (1935)",1933,Broadway,Jerome Kern,Otto Harbach,Harbach,
Robinson Crusoe,1917,Australia,Herbert De Pinna and Bert Rache,Victor Prince,Daniel DeFoe,"Vaudeville style comedy in which the title and concept are owed to the book author, but the content is sparsely related."
Rock 'n Roll Café,2012,Off-Broadway,Bernard J. Taylor,Taylor,Taylor,
"Rock of Ages 

+ film (2012)",2006,Broadway jukebox,Various artists,Various artists,Chris D'Arienzo,
Rockabye Hamlet,1974,Canadian,Cliff Jones,Jones,Jones,
Rockville,2009,Off-Broadway,Martin Gellner and Werner Stranka,"Gellner, Stranka and Kim Duddy",Duddy,
Rocky,2014,Broadway,Stephen Flaherty,Lynn Ahrens,Thomas Meehan,Based on the film of the same name.
