Production,Year,Venue/type,Music,Lyrics,Book,Notes
Taboo,2003,West End,"Boy George, Kevan Frost, John Themis and Richie Stevens",George,Mark Davies Markham and Charles Busch,
Take Flight!,2007,West End,David Shire,"Richard Maltby, Jr.",John Weidman,
Take Me Along,1959,Broadway,Bob Merrill,Merrill,Joseph Stein and Robert Russell,
Taking My Turn,1983,Off-Broadway,Gary William Friedman,Will Holt,Elise Brosnan,
A Tale of Two Cities,2008,Broadway,Jill Santoriello,Santoriello,Santoriello,
Tältprojektet,1977,Swedish,Ulf Dageby,Dageby,Dageby,
Tammy Faye,2022,Broadway,Elton John,Jake Shears,James Graham,
Tangled,2010,Film,Alan Menken,Glenn Slater,Dan Fogelman,"Starred Mandy Moore, Zachary Levi and Donna Murphy."
Tango Argentino,1985,Broadway revue,Various artists,Various artists,—N/a,
The Tap Dance Kid,1983,Broadway,Henry Krieger,Robert Lorick,Charles Blackwell,
Tarzan,2006,Broadway,Phil Collins,Collins,David Henry Hwang,
Teacher's Pet,2004,Film,Stephen James Taylor,Taylor,Bill Steinkellner and Cheri Steinkellner,
Teeth,2024,Off-Broadway,Anna K. Jacobs,Michael R. Jackson,Anna K. Jacobs and Micahel R. Jackson,Based on 2007 film of the same name
The Ten Commandments,2004,Off-off-Broadway,Patrick Leonard,Maribeth Derry,Élie Chouraqui,
Tenacious D in The Pick of Destiny,2006,Film,Tenacious D,Tenacious D,"Jack Black, Kyle Gass and Liam Lynch",
Tenderloin,1960,Broadway,Jerry Bock,Sheldon Harnick,George Abbott and Jerome Weidman,
Texas Li'l Darlin',1949,Broadway,Robert Emmett Dolan,Johnny Mercer,John Whedon and Sam Moore,
That Bloody Woman,2015,New Zealand,Luke Di Somma,Luke Di Somma,Gregory Cooper,
That Midnight Kiss,1949,Film,Charles Previn,Conrad Salinger,Bruce Manning and Tamara Hovey,
They're Playing Our Song,1979,Broadway,Marvin Hamlisch,Carole Bayer Sager,Neil Simon,
The Thing About Men,2003,Off-Broadway,Jimmy Roberts,Joe DiPietro,DiPietro,
"Thoroughly Modern Millie 

+ film (1967)",2002,Broadway,Jeanine Tesori,Dick Scanlan,Richard Morris and Scanlan,"Based on the film of the same name. Notable songs: ""Thoroughly Modern Millie"" and ""Forget About the Boy""."
Thou Shalt Not,2001,Broadway,"Harry Connick, Jr.","Connick, Jr.",David Thompson,
The Three Caballeros,1945,Film,"Edward H. Plumb, Paul J. Smith and Charles Wolcott","Plumb, Smith and Wolcott",Various writers,"Notable songs: ""The Three Caballeros"" and ""You Belong to My Heart""."
The Three Musketeers,1928,Broadway,Rudolf Friml,Clifford Grey and P. G. Wodehouse,William Anthony McGuire,
Three Postcards,1987,Off-Broadway,Craig Carnelia,Carnelia,Craig Lucas,
Three Wishes for Jamie,1952,Broadway,Ralph Blane,Blane,Charles O'Neal and Abe Burrows,
