Production,Year,Venue/type,Music,Lyrics,Book,Notes
Vanities,2006,Off-Broadway,David Kirshenbaum,Kirshenbaum,Jack Heifner,Based on the 1976 play of the same name.
"Very Good, Eddie",1915,Broadway,Jerome Kern,Schuyler Green and Herbert Reynolds,Philip Bartholomae and Guy Bolton,
A Very Merry Unauthorized Children's Scientology Pageant,2003,Off-off-Broadway,Kyle Jarrow,Jarrow,Jarrow,
A Very Potter Musical,2009,University of Michigan,Darren Criss and A.J. Holmes,Criss and Holmes,"Matt Lang, Nick Lang, and Brian Holden",Parody musical based on the Harry Potter film series by J. K. Rowling
A Very Potter Senior Year,2012,Off-off-Broadway,"A.J. Holmes, Clark Baxtresser, Pierce Siebers and Darren Criss","Holmes, Baxtresser, Siebers and Criss","Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.
A Very Potter Sequel,2010,Off-off-Broadway,Darren Criss,Criss,"Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.
Very Warm for May,1939,Broadway,Jerome Kern,Oscar Hammerstein II,Hammerstein II,"Notable song: ""All the Things You Are""."
Via Galactica,1972,Broadway,Galt MacDermot,Christopher Gore,Gore and Judith Ross,
"Victor/Victoria 

+ film (1982)",1995,Broadway,Henry Mancini and Frank Wildhorn,Leslie Bricusse and Wildhorn,Blake Edwards,Adapted from the 1982 film.
Violet,2014,Broadway,Jeanine Tesori,Brian Crawley,Crawley,
The Visit,2001,Broadway,John Kander,Fred Ebb,Terrence McNally,Debuted on Broadway in 2015.
Viva Forever!,2012,West End,The Spice Girls,The Spice Girls,Jennifer Saunders,
Vivir Intentando,2003,Film,Fernando López Rossi and Diego Grimblat,López Rossi and Grimblat,"Carolina Hughes, Alejandro Sapognikoff and Tomás Yankelevich",
