Production,Year,Venue/type,Music,Lyrics,Book,Notes
Wait a Minim!,1964,West End revue,Jeremy Taylor,Taylor,Leon Gluckman,
Waitress,2015,Broadway,Sara Bareilles,Sara Bareilles,Jessie Nelson,Based on the 2007 film of the same name.
Walk a Little Faster,1932,Broadway revue,Vernon Duke,E. Y. Harburg,S. J. Perelman and Robert MacGunigle,
Walking Happy,1966,Broadway,Jimmy Van Heusen,Sammy Cahn,Roger O. Hirson and Ketti Frings,
Walmartopia,2005,Off-Broadway,Andrew Rohn,Rohn,Catherine Capellaro,
War Paint,2017,Broadway,Scott Frankel,Michael Korie,Doug Wright,
Wasted,2018,"Fringe and suburban, London",Christopher Ash,Carl Miller,Carl Miller,
Water for Elephants,2023,Broadway,PigPen Theatre Co.,PigPen Theatre Co.,Rick Elice,Based on the 2006 novel of the same name by Sara Gruen.
We Are The Tigers,2019,Off-Broadway,Preston Max Allen,Preston Max Allen,Preston Max Allen,
We Will Rock You,2002,West End jukebox,Queen,Queen and Ben Elton,Elton,
The Wedding Singer,2006,Broadway,Matthew Sklar,Chad Beguelin,Beguelin and Tim Herlihy,
Welcome to the Voice,2000,Off-off-Broadway,Steve Nieve,Muriel Teodori,Teodori,
The Well of Romance,1930,Broadway,H. Maurice Jacquet,Preston Sturges,Sturges,
Were the World Mine,2008,Film,Jessica Fogle,Fogle,Tom Gustafson and Cory James Krueckeberg,
"West Side Story 

+ film (1961)
+ film (2021)",1957,Broadway,Leonard Bernstein,Stephen Sondheim,Arthur Laurents,"Notable songs: ""Tonight Quintet"", ""America"" and ""Somewhere""."
What Makes Sammy Run?,1964,Broadway,Ervin Drake and Budd Schulberg,Drake and Schulberg,Stuart Schulberg,"Notable song: ""A Room Without Windows""."
What's New Pussycat?,2021,Regional,Various,Various,Joe DiPietro,"The History of Tom Jones, a Foundling"
Where's Charley?,1948,Broadway,Frank Loesser,Loesser,George Abbott,"Notable song: ""Once in Love with Amy""."
Whistle Down the Wind,1998,West End,Andrew Lloyd Webber,Jim Steinman,"Patricia Knop, Lloyd Webber and Gale Edwards",
"White Christmas 

+ film (1954)",2004,Off-Broadway,Irving Berlin,Berlin,David Ives and Paul Blake,
White Girl in Danger,2023,Off-Broadway,Michael R. Jackson,Michael R. Jackson,Michael R. Jackson,
White Rose: The Musical,2024,Off-Broadway,Natalie Brice,Brian Belding,Belding,Based on a true story of student activists in Nazi Germany
Whoop Up,1958,Broadway,Mark Charlap,Norman Gimbel,Cy Feuer and Ernest Martin,
Whoopee!,1928,Broadway,Walter Donaldson,Gus Kahn,William Anthony McGuire,"Notable song: ""Makin' Whoopee""."
The Who's Tommy,1993,Broadway,Pete Townshend,Townshend,Townshend and Des McAnuff,"Notable song: ""Pinball Wizard""."
"Wicked

+ film (2024)
+ film (2025)",2003,Broadway,Stephen Schwartz,Schwartz,Winnie Holzman,"Notable songs: ""Popular"", ""For Good"" and ""Defying Gravity"""
The Wild Party (LaChiusa),2000,Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
The Wild Party (Lippa),2000,Off-Broadway,Andrew Lippa,Lippa,Lippa,
"Wild, Wild Women",1982,West End,Nola York,Michael Richmond,Michael Richmond,
Wildcat,1960,Broadway,Cy Coleman,Carolyn Leigh,N. Richard Nash,
Wild Rose,2025,Royal Lyceum,Various,Various,Nicole Taylor,
The Will Rogers Follies,1991,Broadway,Cy Coleman,Betty Comden and Adolph Green,Comden and Green,
Willy Wonka,2004,Off-off-Broadway,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Bricusse and Tim McDonald,
Willy Wonka & the Chocolate Factory,1971,Film,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Roald Dahl,"Notable songs: ""The Candy Man"" and ""Pure Imagination""."
The Wind in the Willows,1986,Broadway,William Perry,Roger McGough and William Perry,Jane Iredale,
Winnie the Pooh,2021,Off-Broadway,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Jonathan Rockefeller,
Winnie the Pooh and a Day for Eeyore,1983,Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,"Peter Young, Steve Hulett and Tony L. Marino",
Winnie the Pooh and the Blustery Day,1968,Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Ralph Wright,
Winnie the Pooh and the Honey Tree,1966,Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Ralph Wright and Ken Anderson,
Winnie the Pooh and Tigger Too,1974,Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,"Larry Clemmons, Ted Berman and Eric Cleworth",
Wish You Were Here,1952,Broadway,Harold Rome,Rome,Arthur Kober and Joshua Logan,
The Witches of Eastwick,2000,West End,Dana P. Rowe,John Dempsey,Dempsey,
The Wiz,1975,Broadway,Charlie Smalls and Luther Vandross,Smalls and Vandross,William F. Brown,"Notable song: ""Ease on Down the Road"""
The Wiz,1978,Film,Charlie Smalls and Luther Vandross,Smalls and Vandross,Joel Schumacher,
The Wizard of Oz,1902,Off-Broadway,Various artists,Various artists,L. Frank Baum and Glen MacDonough,
The Wizard of Oz,1939,Film,Harold Arlen,E. Y. Harburg,"Noel Langley, Florence Ryerson and Edgar Allan Woolf","Notable song: ""Over the Rainbow"""
The Wizard of Oz,1942,Off-off-Broadway,Harold Arlen,E. Y. Harburg,Frank Gabrielson,
The Wizard of Oz,1987,West End,Harold Arlen and Herbert Stothart,E. Y. Harburg,John Kane,
The Wizard of Oz,2011,West End,Harold Arlen and Andrew Lloyd Webber,E. Y. Harburg and Tim Rice,Andrew Lloyd Webber and Jeremy Sams,
The Woman in White,2004,West End,Andrew Lloyd Webber,David Zippel,Charlotte Jones,
Woman of the Year,1981,Broadway,John Kander,Fred Ebb,Peter Stone,
Women on the Verge of a Nervous Breakdown,2010,Broadway,David Yazbek,David Yazbek,Jeffrey Lane,
A Wonderful Life,1991,Off-off-Broadway,Joe Raposo,Sheldon Harnick,Harnick,
Wonderful Town,1953,Broadway,Leonard Bernstein,Betty Comden and Adolph Green,Joseph Fields and Jerome Chodorov,
The Wonderful Wizard of Oz,2000,Off-off-Broadway,James Patrick Doyle,Doyle and Joe Cascone,Cascone,
Wonderland,2011,Broadway,Frank Wildhorn,Jack Murphy,Murphy and Gregory Boyd,"Notable song: ""I Will Prevail""."
The Woodsman,2012,Off-Broadway,Edward W. Hardy,Jennifer Loring,James Ortiz,"Notable song: ""Rusting Tin Man""."
Words and Music,1932,West End revue,Noël Coward,Coward,Coward,
Working,1978,Broadway revue,Various artists,Various artists,Stephen Schwartz and Nina Faso,
Wuthering Heights,1992,Concept album,Bernard J. Taylor,Taylor,—N/a,
