Production,Year,Venue/type,Music,Lyrics,Book,Notes
"Zanna, Don't!",2002,Off-Broadway,Tim Acito,Acito and Alexander Dinelaris,Acito and Dinelaris,"Notable songs: ""I Could Write Books"" and ""Blow Winds""."
Zenda,1963,Off-Broadway,Vernon Duke,"Lenny Adelson, Sid Kuller and Martin Charnin",Everett Freeman,Musical adaptation of the Anthony Hope novel The Prisoner of Zenda.
Ziegfeld Follies,1946,Film,Various artists,Various artists,David Freedman,
Ziegfeld Follies of 1909,1909,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1910,1910,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1911,1911,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1912,1912,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1913,1913,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1914,1914,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1915,1915,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1917,1917,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1919,1919,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1920,1920,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1921,1921,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1922,1922,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1923,1923,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1924,1924,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1927,1927,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1931,1931,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1934,1934,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1936,1936,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1943,1943,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1957,1957,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Follies of 1958,1958,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Girl,1941,Film,Herbert Stothart,Stothart,William Anthony McGuire,
Ziegfeld Girls of 1920,1920,Broadway revue,Various artists,Various artists,—N/a,
Ziegfeld Midnight Frolic,"1917–1921, 1928",Broadway revue,Various artists,Various artists,—N/a,
Zig-Zag is not a film,1917,West End revue,Dave Stamper,Gene Buck,—N/a,
Zip Goes a Million,1951,West End,George Posford,Eric Maschwitz,Maschwitz,
Zipp!,2003,West End revue,Various artists,Various artists,Gyles Brandreth and Stewart Nicholls,
Zombie Prom,1993,Off-Broadway,Dana P. Rowe,John Dempsey,Dempsey,
Zombies,2018,Film,George S. Clinton,Clinton,David Light and Joseph Raso,Disney Channel Original Movie
Zombies from The Beyond,1995,Off-Broadway,James Valcq,Valcq,Valcq,
Zorba,1968,Broadway,John Kander,Fred Ebb,Joseph Stein,
Zorro,2008,West End,Gipsy Kings and John Cameron,Stephen Clark,Stephen Clark and Helen Edmundson,
Zuleika,1954,Off-West End,Peter Tranchell,James Ferman,Ferman,
